118,55,325,55,325,92,118,92,tan chay yee
64,122,299,122,299,137,64,137,OJC MARKETING SDN BHD
105,145,259,145,259,158,105,158,ROC NO: 538358-H
86,167,272,167,272,180,86,180,NO 2 & 4, JALAN BAYU 4,
104,188,254,188,254,202,104,202,BANDAR SERI ALAM,
99,211,265,211,265,225,99,225,81750 MASAI, JOHOR
52,231,310,231,310,246,52,246,Tel:07-388 2218 Fax:07-386 8218
89,253,274,253,274,269,89,269,Email: ng@ojegroup.com
146,295,218,295,218,310,146,310,Cash Bill
15,322,19,322,19,325,15,325,“
291,322,347,322,347,325,291,325,pecoainos
30,327,101,327,101,340,30,340,Invoce No
134,327,238,327,238,340,134,340,PEGIV-1030531
30,350,64,350,64,362,30,362,Date
134,349,314,349,314,364,134,364,02/01/2019 2:47:14 PM
29,370,81,370,81,383,29,383,Cashier
125,370,210,370,210,383,125,383,: RHYS TAN
30,392,116,392,116,405,30,405,Sales Persor
135,392,179,392,179,405,135,405,FATIN
77,435,101,435,101,445,77,445,tion
156,432,183,432,183,451,156,451,Qy,
211,432,242,432,242,451,211,451,Price
260,432,284,432,284,451,260,451,Am
26,454,91,454,91,466,26,466,000000111
172,448,253,448,253,467,172,467,1 170.007
265,449,314,449,314,467,265,467,"170.00
27,474,118,474,118,487,27,487,KINGS SAFETY
172,474,201,474,201,487,172,487,Poo4
27,492,130,492,130,504,27,504,SHOES KWO 805
28,521,215,521,215,537,28,537,Qty: 1 Total Item Discount:
285,521,314,521,314,534,285,534,6.00
123,543,215,543,215,556,123,556,Total Amount:
271,543,314,543,314,556,271,556,170.00
139,564,215,564,215,577,139,577,Round Amt:
285,564,314,564,314,577,285,577,0.00
160,590,204,590,204,604,160,604,TOTA’
256,590,314,590,314,604,256,604,170.00
128,617,200,617,200,629,128,629,VISA CARD
271,617,314,617,314,629,271,629,170.00
80,634,204,634,204,658,80,658,990000000004 318
76,659,200,659,200,674,76,674,Approval Code:123
312,667,391,667,391,711,312,711,70.00
35,729,330,729,330,762,35,762,Goods Sold Are Not Returnable & Refundable
47,747,286,747,286,776,47,776,“*"*Thank You. Please Come Again.
