380,69,499,69,499,118,380,118,DSER.
250,116,322,116,322,162,250,162,190
45,198,469,198,469,225,45,225,Gerbang Alaf Restaurants Sdn Bhd
194,232,308,232,308,258,194,258,(65351-M)
139,264,363,264,363,291,139,291,formerly known as
32,296,470,296,470,322,32,322,Golden Arches Restaurants Sdn Bhd
113,329,403,329,403,354,113,354,Licensee of McDonald's
6,361,523,361,523,390,6,390,Level 6, Bangunan TH, Damansara Uptown3
6,395,523,395,523,423,6,423,No.3, Jalan $$21/39,47406 Petaling Jaya
205,427,310,427,310,455,205,455,Selangor
101,459,427,459,427,486,101,486,(GST ID No: 000504664064)
32,491,496,491,496,517,32,517,McDonald's Petronas Taman Melati DT
113,524,403,524,403,549,113,549,Tel No. : 03-4147-3107
193,559,337,559,337,583,193,583,TAX INVOICE
206,625,335,625,335,648,206,648,MFY Side 1
7,689,271,689,271,714,7,714,INV# _.141900016842
6,722,494,722,494,754,6,754,ORD #90 -REG #19- 18/01/2018 17:09:21
6,754,111,754,111,778,6,778,QTY ITEM
458,757,523,757,523,780,458,780,TOTAL
33,787,231,787,231,814,33,814,2 M SpicyDeluxe
459,790,523,790,523,813,459,813,25.40
59,820,164,820,164,845,59,845,2 M Coke
59,854,177,854,177,878,59,878,2M Fries
35,887,231,887,231,915,35,915,1M GrilChicBgr
461,891,523,891,523,914,461,914,12.50
62,921,164,921,164,945,62,945,1M Coke
62,954,178,954,178,977,62,977,1M Fries
35,986,191,986,191,1010,35,1010,1 Smal] Cone
474,989,524,989,524,1012,474,1012,1.00
6,1051,322,1051,322,1079,6,1079,TakeOut Total (incl GST)
459,1054,524,1054,524,1077,459,1077,38.90
6,1083,178,1083,178,1108,6,1108,Total Rounded
459,1087,524,1087,524,1110,459,1110,38.90
6,1117,178,1117,178,1142,6,1142,Cash Tendered
458,1121,524,1121,524,1144,458,1144,50.00
6,1150,84,1150,84,1178,6,1178,Change
461,1154,524,1154,524,1177,461,1177,11.10
6,1217,284,1217,284,1242,6,1242,TOTAL INCLUDES 6% GST
472,1221,524,1221,524,1243,472,1243,2.20
7,1293,402,1293,402,1299,7,1299,Res teem ween aocensase<-os------
115,1315,467,1315,467,1343,115,1343,love to hear your feedback!
73,1382,443,1382,443,1410,73,1410,Visit www.mcdfeedback .com.my
246,1416,271,1416,271,1439,246,1439,OR
73,1448,457,1448,457,1476,73,1476,Download My McD Feedback from
126,1481,404,1481,404,1509,126,1509,Google Play/App Store
7,1590,82,1590,82,1594,7,1594,sovees
99,1547,417,1547,417,1575,99,1575,to share your experience
141,1592,523,1592,523,1597,141,1597,ene nee eee een enw ne ne ee
32,1612,454,1612,454,1642,32,1642,Thank You and Please Come Again.
19,1646,324,1646,324,1672,19,1672,ustomer Service Hotline
366,1649,524,1649,524,1673,366,1673,03-2726-5600
561,1680,562,1680,562,1728,561,1728,|
607,1716,608,1716,608,1727,607,1727,)
