575,193,595,193,595,217,575,217,fa.
608,203,617,203,617,218,608,218,re)
392,247,613,247,613,262,392,262,PERNIAGAAN ZHENG HU!
460,270,545,270,545,281,460,281,JMOa25956-V
419,288,585,288,585,299,419,299,NO.8@ JALAN PERMAS 9/6
406,306,599,306,599,318,406,318,BANDAR BARU PERMAS JAYA
432,325,571,325,571,336,432,336,81780 JOHOR BAHRU
392,335,634,335,634,363,392,363,TEL : 07-386 7524 FAX : 07-388 3798
437,357,589,357,589,385,437,385,GST NO : DoNROOBGa24
423,392,602,392,602,404,423,404,SIMPLIFIED TAX INVOICE
531,413,668,413,668,414,531,414,(elahhbrhsahe
368,418,388,418,388,428,368,428,IAN
411,418,432,418,432,428,411,428,NGI
472,418,494,418,494,428,472,428,ING
346,444,423,444,423,458,346,458,ecelpti® CS
335,463,411,463,411,477,335,477,Salesperson,
559,468,660,468,660,480,559,480,Date. 09/02/2078
335,482,429,482,429,494,335,494,Cashier: USER
558,488,644,488,644,499,558,499,Time: 08:32:00
330,509,334,509,334,510,330,510,-
388,509,667,509,667,511,388,511,a TLE
566,516,596,516,596,530,566,530,{RH}
639,516,667,516,667,530,639,530,(RM;
334,532,364,532,364,547,334,547,tem
518,532,542,532,542,547,518,547,ay
569,532,594,532,594,543,569,543,RSP.
618,533,667,533,667,543,618,543,Amount
334,551,363,551,363,562,334,562,6783
470,542,531,542,531,570,470,570,TRG" 5
568,551,593,551,593,562,568,562,3.50
636,551,666,551,666,563,636,563,178C
334,570,452,570,452,582,334,582,SR CERAMIC CAP
334,592,363,592,363,603,334,603,2084
521,593,535,593,535,603,521,603,30
568,593,593,593,593,603,568,603,3.80
628,593,666,593,666,603,628,603,114.0c
470,587,500,587,500,606,470,606,1804
334,611,549,611,549,623,334,623,SR: SISTEEL 1/2" STREET ELBOW
335,633,363,633,363,644,335,644,1760
478,630,498,630,498,646,478,646,GA
525,633,529,633,529,644,525,644,i
564,633,597,633,597,644,564,644,85.00
634,634,665,634,665,644,634,644,5.00
333,652,663,652,663,670,333,670,SR: 24MM STARWELD RED HEAD TUNGSTEN ROD
333,668,362,668,362,685,333,685,3498
484,667,534,667,534,696,484,696,Ga 3
563,674,596,674,596,685,563,685,33.00
633,674,665,674,665,685,633,685,99.00
333,694,622,694,622,708,333,708,SR: ESIGUT 4" CUTTING DISC (1BOX)-50PCS
332,715,361,715,361,727,332,727,2460
483,714,529,714,529,728,483,728,GA 2
563,716,596,716,596,727,563,727,43.00
633,716,664,716,664,727,633,727,6.00
332,734,544,734,544,746,332,746,SR: WELDRO PICKLING GEL 1KG
332,757,361,757,361,768,332,768,9428
482,750,532,750,532,778,482,778,Ge 4
564,757,595,757,595,768,564,768,10.00
632,757,664,757,664,769,632,769,40.0c
332,769,597,769,597,797,332,797,BR: 13.8" WELDING GLOVE - GREEN (GS)
366,796,423,796,423,807,366,807,TOT OY:
448,796,461,796,461,807,448,807,ca
624,793,663,793,663,807,624,807,ATC
380,829,566,829,566,843,380,843,(Excluded GST) Sub Total (RM)
619,830,660,830,660,841,619,841,411.50
481,854,566,854,566,868,481,868,Discount (RM)
634,854,659,854,659,865,634,865,oan
472,878,566,878,566,892,472,892,Total GST (RM)
626,878,659,878,659,890,626,890,24.69
448,903,580,903,580,920,448,920,Rounding (RM) :
627,904,656,904,656,917,627,917,0.0%
608,928,658,928,658,941,608,941,436.20
484,927,580,927,580,944,484,944,Total (RM) +
520,951,580,951,580,964,520,964,CASH :
608,952,658,952,658,965,608,965,436.20
463,974,580,974,580,991,463,991,Ghange (RM) >
626,975,657,975,657,988,626,988,0.00
479,1009,485,1009,485,1011,479,1011,~
491,1009,495,1009,495,1011,491,1011,.
514,1009,518,1009,518,1011,514,1011,on
596,1010,616,1010,616,1011,596,1011,_
329,1009,462,1009,462,1040,329,1040,@ST SUMMARY
338,1059,413,1059,413,1075,338,1075,Tax Gade _
449,1074,462,1074,462,1075,449,1075,#
459,1059,467,1059,467,1071,459,1071,%
522,1059,575,1059,575,1071,522,1071,Amount
643,1060,657,1060,657,1072,643,1072,ST
323,1074,358,1074,358,1089,323,1089,SR
462,1078,469,1078,469,1089,462,1089,6
516,1075,587,1075,587,1090,516,1090,417.50
400,1098,422,1098,422,1099,400,1099,—
490,1099,591,1099,591,1100,490,1100,meeenaeateia
621,1078,659,1078,659,1100,621,1100,zie
436,1102,459,1102,459,1114,436,1114,‘otal
530,1103,574,1103,574,1114,530,1114,417,50
628,1103,656,1103,656,1115,628,1115,4 BG
366,1142,614,1142,614,1154,366,1154,GOONS SOLD ARE NOT RETURNABLE,
451,1161,527,1161,527,1173,451,1173,THANK YOU.
